OrganizationFormalName,ActivityStartDate,ActivityStartTime.Time,ActivityStartTime.TimeZoneCode,CharacteristicName,MonitoringLocationIdentifier,SampleCollectionMethod.MethodName,SampleCollectionEquipmentName,ResultMeasureValue,ResultMeasure.MeasureUnitCode,ResultSampleFractionText,ResultAnalyticalMethod.MethodName,MethodDescriptionText,ProviderName,siteTimes
Bureau of Reclamation,2015-07-28,09:40:00,MDT,pH,1119USBR_WQX-PAL008,Grab,Water Bottle,7.91,None,Dissolved,pH,https://www.nemi.gov/methods/method_summary/4685/,STORET,2015-07-28_break_1119USBR_WQX-PAL008
Bureau of Reclamation,2015-07-28,09:40:00,MDT,temperature,1119USBR_WQX-PAL008,Grab,Water Bottle,16.4,deg C,Dissolved,Temperature of Water by Thermometer,,STORET,2015-07-28_break_1119USBR_WQX-PAL008
Bureau of Reclamation,2015-07-28,10:18:00,MDT,temperature,1119USBR_WQX-JAC001,Grab,Water Bottle,15.1,deg C,Dissolved,Temperature of Water by Thermometer,,STORET,2015-07-28_break_1119USBR_WQX-JAC001
Bureau of Reclamation,2015-07-28,09:27:00,MDT,pH,1119USBR_WQX-PAL008,Grab,Water Bottle,8.37,None,Dissolved,pH,https://www.nemi.gov/methods/method_summary/4685/,STORET,2015-07-28_break_1119USBR_WQX-PAL008
Bureau of Reclamation,2015-07-28,09:51:00,MDT,temperature,1119USBR_WQX-PAL008,Grab,Water Bottle,10.4,deg C,Dissolved,Temperature of Water by Thermometer,,STORET,2015-07-28_break_1119USBR_WQX-PAL008
Bureau of Reclamation,2015-07-29,09:45:00,MDT,pH,1119USBR_WQX-PAL008,Grab,Water Bottle,7.53,None,Dissolved,pH,https://www.nemi.gov/methods/method_summary/4685/,STORET,2015-07-29_break_1119USBR_WQX-PAL008
Bureau of Reclamation,2015-05-27,11:09:00,MDT,temperature,1119USBR_WQX-PAL008,Grab,Water Bottle,12.3,deg C,Dissolved,Temperature of Water by Thermometer,,STORET,2015-05-27_break_1119USBR_WQX-PAL008
Bureau of Reclamation,2015-08-11,11:15:00,MDT,pH,1119USBR_WQX-JAC001,Grab,Water Bottle,8.43,None,Dissolved,pH,https://www.nemi.gov/methods/method_summary/4685/,STORET,2015-08-11_break_1119USBR_WQX-JAC001
National Park Service Water Resources Division,2015-08-24,13:35:00,MDT,Calcium,11NPSWRD_WQX-GRTE_SNR02,Depth integrated sample with DH81 isokinetic sampler,Water Bottle,17.1,mg/l,Total,200.7 W  ~ Metals in Water by ICP-AES,https://www.nemi.gov/methods/method_summary/4690/,STORET,2015-08-24_break_11NPSWRD_WQX-GRTE_SNR02
Bureau of Reclamation,2010-07-22,10:22:00,MDT,pH,1119USBR_WQX-JAC001,Grab,Water Bottle,7.58,None,Dissolved,pH,https://www.nemi.gov/methods/method_summary/4685/,STORET,2010-07-22_break_1119USBR_WQX-JAC001
Bureau of Reclamation,2010-07-21,09:40:00,MDT,pH,1119USBR_WQX-PAL007,Grab,Water Bottle,8.1,None,Dissolved,pH,https://www.nemi.gov/methods/method_summary/4685/,STORET,2010-07-21_break_1119USBR_WQX-PAL007
Bureau of Reclamation,2010-07-21,09:30:00,MDT,pH,1119USBR_WQX-PAL007,Grab,Water Bottle,8.74,None,Dissolved,pH,https://www.nemi.gov/methods/method_summary/4685/,STORET,2010-07-21_break_1119USBR_WQX-PAL007
Bureau of Reclamation,2010-07-21,09:30:00,MDT,Calcium,1119USBR_WQX-PAL007,Grab,Water Bottle,35.1,mg/l,Dissolved,Calcium by FLAA,https://www.nemi.gov/methods/method_summary/5280/,STORET,2010-07-21_break_1119USBR_WQX-PAL007
Bureau of Reclamation,2010-07-21,09:30:00,MDT,temperature,1119USBR_WQX-PAL007,Grab,Water Bottle,19.7,deg C,Dissolved,Temperature of Water by Thermometer,,STORET,2010-07-21_break_1119USBR_WQX-PAL007
Bureau of Reclamation,2010-08-04,11:49:00,MDT,temperature,1119USBR_WQX-PAL008,Grab,Water Bottle,11.5,deg C,Dissolved,Temperature of Water by Thermometer,,STORET,2010-08-04_break_1119USBR_WQX-PAL008
Bureau of Reclamation,2010-07-22,10:12:00,MDT,temperature,1119USBR_WQX-JAC001,Grab,Water Bottle,15.7,deg C,Dissolved,Temperature of Water by Thermometer,,STORET,2010-07-22_break_1119USBR_WQX-JAC001
Bureau of Reclamation,2010-07-22,10:12:00,MDT,pH,1119USBR_WQX-JAC001,Grab,Water Bottle,8.2,None,Dissolved,pH,https://www.nemi.gov/methods/method_summary/4685/,STORET,2010-07-22_break_1119USBR_WQX-JAC001
Bureau of Reclamation,2010-08-04,11:43:00,MDT,temperature,1119USBR_WQX-PAL008,Grab,Water Bottle,15.5,deg C,Dissolved,Temperature of Water by Thermometer,,STORET,2010-08-04_break_1119USBR_WQX-PAL008
Bureau of Reclamation,2010-07-22,10:20:00,MDT,pH,1119USBR_WQX-JAC001,Grab,Water Bottle,7.63,None,Dissolved,pH,https://www.nemi.gov/methods/method_summary/4685/,STORET,2010-07-22_break_1119USBR_WQX-JAC001
Bureau of Reclamation,2010-07-22,10:20:00,MDT,temperature,1119USBR_WQX-JAC001,Grab,Water Bottle,8.0,deg C,Dissolved,Temperature of Water by Thermometer,,STORET,2010-07-22_break_1119USBR_WQX-JAC001
Bureau of Reclamation,2010-08-04,11:44:00,MDT,temperature,1119USBR_WQX-PAL008,Grab,Water Bottle,15.1,deg C,Dissolved,Temperature of Water by Thermometer,,STORET,2010-08-04_break_1119USBR_WQX-PAL008
Bureau of Reclamation,2010-08-04,11:44:00,MDT,pH,1119USBR_WQX-PAL008,Grab,Water Bottle,7.99,None,Dissolved,pH,https://www.nemi.gov/methods/method_summary/4685/,STORET,2010-08-04_break_1119USBR_WQX-PAL008
Bureau of Reclamation,2010-07-22,10:14:00,MDT,pH,1119USBR_WQX-JAC001,Grab,Water Bottle,8.1,None,Dissolved,pH,https://www.nemi.gov/methods/method_summary/4685/,STORET,2010-07-22_break_1119USBR_WQX-JAC001
Bureau of Reclamation,2010-07-22,10:27:00,MDT,temperature,1119USBR_WQX-JAC001,Grab,Water Bottle,5.8,deg C,Dissolved,Temperature of Water by Thermometer,,STORET,2010-07-22_break_1119USBR_WQX-JAC001
Bureau of Reclamation,2010-08-04,11:41:00,MDT,pH,1119USBR_WQX-PAL008,Grab,Water Bottle,8.12,None,Dissolved,pH,https://www.nemi.gov/methods/method_summary/4685/,STORET,2010-08-04_break_1119USBR_WQX-PAL008
Bureau of Reclamation,2010-08-05,11:08:00,MDT,Calcium,1119USBR_WQX-JAC001,Grab,Water Bottle,14.6,mg/l,Dissolved,Calcium by FLAA,https://www.nemi.gov/methods/method_summary/5280/,STORET,2010-08-05_break_1119USBR_WQX-JAC001
Bureau of Reclamation,2010-07-22,10:24:00,MDT,pH,1119USBR_WQX-JAC001,Grab,Water Bottle,7.55,None,Dissolved,pH,https://www.nemi.gov/methods/method_summary/4685/,STORET,2010-07-22_break_1119USBR_WQX-JAC001
Bureau of Reclamation,2010-08-04,11:32:00,MDT,temperature,1119USBR_WQX-PAL008,Grab,Water Bottle,20.6,deg C,Dissolved,Temperature of Water by Thermometer,,STORET,2010-08-04_break_1119USBR_WQX-PAL008
Bureau of Reclamation,2010-08-05,11:19:00,MDT,temperature,1119USBR_WQX-JAC001,Grab,Water Bottle,7.8,deg C,Dissolved,Temperature of Water by Thermometer,,STORET,2010-08-05_break_1119USBR_WQX-JAC001
Bureau of Reclamation,2010-08-04,11:39:00,MDT,temperature,1119USBR_WQX-PAL008,Grab,Water Bottle,17.3,deg C,Dissolved,Temperature of Water by Thermometer,,STORET,2010-08-04_break_1119USBR_WQX-PAL008
Bureau of Reclamation,2010-07-22,10:22:00,MDT,temperature,1119USBR_WQX-JAC001,Grab,Water Bottle,7.4,deg C,Dissolved,Temperature of Water by Thermometer,,STORET,2010-07-22_break_1119USBR_WQX-JAC001
Bureau of Reclamation,2010-08-04,12:26:00,MDT,pH,1119USBR_WQX-PAL101,Grab,Water Bottle,8.27,None,Dissolved,pH,https://www.nemi.gov/methods/method_summary/4685/,STORET,2010-08-04_break_1119USBR_WQX-PAL101
Bureau of Reclamation,2010-07-22,10:29:00,MDT,pH,1119USBR_WQX-JAC001,Grab,Water Bottle,7.7,None,Dissolved,pH,https://www.nemi.gov/methods/method_summary/4685/,STORET,2010-07-22_break_1119USBR_WQX-JAC001
Bureau of Reclamation,2010-07-21,09:36:00,MDT,pH,1119USBR_WQX-PAL007,Grab,Water Bottle,8.48,None,Dissolved,pH,https://www.nemi.gov/methods/method_summary/4685/,STORET,2010-07-21_break_1119USBR_WQX-PAL007
Bureau of Reclamation,2010-08-05,11:20:00,MDT,temperature,1119USBR_WQX-JAC001,Grab,Water Bottle,7.0,deg C,Dissolved,Temperature of Water by Thermometer,,STORET,2010-08-05_break_1119USBR_WQX-JAC001
Bureau of Reclamation,2010-07-22,10:10:00,MDT,pH,1119USBR_WQX-JAC001,Grab,Water Bottle,8.31,None,Dissolved,pH,https://www.nemi.gov/methods/method_summary/4685/,STORET,2010-07-22_break_1119USBR_WQX-JAC001
Bureau of Reclamation,2010-07-22,10:28:00,MDT,temperature,1119USBR_WQX-JAC001,Grab,Water Bottle,5.6,deg C,Dissolved,Temperature of Water by Thermometer,,STORET,2010-07-22_break_1119USBR_WQX-JAC001
Bureau of Reclamation,2010-07-22,10:28:00,MDT,pH,1119USBR_WQX-JAC001,Grab,Water Bottle,7.32,None,Dissolved,pH,https://www.nemi.gov/methods/method_summary/4685/,STORET,2010-07-22_break_1119USBR_WQX-JAC001
Bureau of Reclamation,2010-08-05,11:13:00,MDT,temperature,1119USBR_WQX-JAC001,Grab,Water Bottle,12.3,deg C,Dissolved,Temperature of Water by Thermometer,,STORET,2010-08-05_break_1119USBR_WQX-JAC001
National Park Service Water Resources Division,2015-08-24,13:35:00,MDT,Calcium,11NPSWRD_WQX-GRTE_SNR02,Depth integrated sample with DH81 isokinetic sampler,Water Bottle,17.3,mg/l,Dissolved,200.7 W  ~ Metals in Water by ICP-AES,https://www.nemi.gov/methods/method_summary/4690/,STORET,2015-08-24_break_11NPSWRD_WQX-GRTE_SNR02
Bureau of Reclamation,2015-05-27,11:09:00,MDT,pH,1119USBR_WQX-PAL008,Grab,Water Bottle,8.55,None,Dissolved,pH,https://www.nemi.gov/methods/method_summary/4685/,STORET,2015-05-27_break_1119USBR_WQX-PAL008
Bureau of Reclamation,2015-07-28,10:15:00,MDT,Calcium,1119USBR_WQX-JAC001,Grab,Water Bottle,15.0,mg/l,Dissolved,Calcium by FLAA,https://www.nemi.gov/methods/method_summary/5280/,STORET,2015-07-28_break_1119USBR_WQX-JAC001
Bureau of Reclamation,2015-08-11,11:15:00,MDT,temperature,1119USBR_WQX-JAC001,Grab,Water Bottle,18.6,deg C,Dissolved,Temperature of Water by Thermometer,,STORET,2015-08-11_break_1119USBR_WQX-JAC001
Bureau of Reclamation,2015-08-11,11:32:00,MDT,pH,1119USBR_WQX-JAC001,Grab,Water Bottle,7.68,None,Dissolved,pH,https://www.nemi.gov/methods/method_summary/4685/,STORET,2015-08-11_break_1119USBR_WQX-JAC001
Bureau of Reclamation,2015-07-29,09:41:00,MDT,temperature,1119USBR_WQX-PAL008,Grab,Water Bottle,9.6,deg C,Dissolved,Temperature of Water by Thermometer,,STORET,2015-07-29_break_1119USBR_WQX-PAL008
Bureau of Reclamation,2015-07-29,09:41:00,MDT,pH,1119USBR_WQX-PAL008,Grab,Water Bottle,7.5,None,Dissolved,pH,https://www.nemi.gov/methods/method_summary/4685/,STORET,2015-07-29_break_1119USBR_WQX-PAL008
Bureau of Reclamation,2015-07-29,09:22:00,MDT,pH,1119USBR_WQX-PAL008,Grab,Water Bottle,8.56,None,Dissolved,pH,https://www.nemi.gov/methods/method_summary/4685/,STORET,2015-07-29_break_1119USBR_WQX-PAL008
Bureau of Reclamation,2015-06-30,09:07:00,MDT,temperature,1119USBR_WQX-PAL008,Grab,Water Bottle,8.2,deg C,Dissolved,Temperature of Water by Thermometer,,STORET,2015-06-30_break_1119USBR_WQX-PAL008
Bureau of Reclamation,2015-06-17,12:30:00,MDT,temperature,1119USBR_WQX-JAC101,Grab,Water Bottle,14.5,deg C,Dissolved,Temperature of Water by Thermometer,,STORET,2015-06-17_break_1119USBR_WQX-JAC101
Bureau of Reclamation,2015-06-17,12:30:00,MDT,pH,1119USBR_WQX-JAC101,Grab,Water Bottle,7.57,None,Dissolved,pH,https://www.nemi.gov/methods/method_summary/4685/,STORET,2015-06-17_break_1119USBR_WQX-JAC101
Bureau of Reclamation,2015-07-28,10:40:00,MDT,temperature,1119USBR_WQX-JAC001,Grab,Water Bottle,5.2,deg C,Dissolved,Temperature of Water by Thermometer,,STORET,2015-07-28_break_1119USBR_WQX-JAC001
National Park Service Water Resources Division,2015-11-10,07:30:00,MST,Calcium,11NPSWRD_WQX-GRTE_SNR01,Depth integrated sample with DH81 isokinetic sampler,Water Bottle,20.1,mg/l,Total,200.7 W  ~ Metals in Water by ICP-AES,https://www.nemi.gov/methods/method_summary/4690/,STORET,2015-11-10_break_11NPSWRD_WQX-GRTE_SNR01
National Park Service Water Resources Division,2015-11-10,07:30:00,MST,Calcium,11NPSWRD_WQX-GRTE_SNR01,Depth integrated sample with DH81 isokinetic sampler,Water Bottle,20.3,mg/l,Dissolved,200.7 W  ~ Metals in Water by ICP-AES,https://www.nemi.gov/methods/method_summary/4690/,STORET,2015-11-10_break_11NPSWRD_WQX-GRTE_SNR01
Bureau of Reclamation,2015-07-28,10:38:00,MDT,temperature,1119USBR_WQX-JAC001,Grab,Water Bottle,5.4,deg C,Dissolved,Temperature of Water by Thermometer,,STORET,2015-07-28_break_1119USBR_WQX-JAC001
Bureau of Reclamation,2015-07-28,10:38:00,MDT,pH,1119USBR_WQX-JAC001,Grab,Water Bottle,7.6,None,Dissolved,pH,https://www.nemi.gov/methods/method_summary/4685/,STORET,2015-07-28_break_1119USBR_WQX-JAC001
Bureau of Reclamation,2015-07-28,10:40:00,MDT,pH,1119USBR_WQX-JAC001,Grab,Water Bottle,6.7,None,Dissolved,pH,https://www.nemi.gov/methods/method_summary/4685/,STORET,2015-07-28_break_1119USBR_WQX-JAC001
National Park Service Water Resources Division,2015-06-24,06:55:00,MDT,Calcium,11NPSWRD_WQX-GRTE_SNR01,Depth integrated sample with DH81 isokinetic sampler,Water Bottle,17.5,mg/l,Dissolved,200.7 W  ~ Metals in Water by ICP-AES,https://www.nemi.gov/methods/method_summary/4690/,STORET,2015-06-24_break_11NPSWRD_WQX-GRTE_SNR01
Bureau of Reclamation,2015-07-28,10:20:00,MDT,temperature,1119USBR_WQX-JAC001,Grab,Water Bottle,9.0,deg C,Dissolved,Temperature of Water by Thermometer,,STORET,2015-07-28_break_1119USBR_WQX-JAC001
Bureau of Reclamation,2015-05-27,11:36:00,MDT,temperature,1119USBR_WQX-PAL008,Grab,Water Bottle,4.9,deg C,Dissolved,Temperature of Water by Thermometer,,STORET,2015-05-27_break_1119USBR_WQX-PAL008
Bureau of Reclamation,2015-05-27,11:36:00,MDT,pH,1119USBR_WQX-PAL008,Grab,Water Bottle,7.12,None,Dissolved,pH,https://www.nemi.gov/methods/method_summary/4685/,STORET,2015-05-27_break_1119USBR_WQX-PAL008
Bureau of Reclamation,2015-07-28,09:57:00,MDT,temperature,1119USBR_WQX-PAL008,Grab,Water Bottle,7.9,deg C,Dissolved,Temperature of Water by Thermometer,,STORET,2015-07-28_break_1119USBR_WQX-PAL008
Bureau of Reclamation,2015-07-28,09:57:00,MDT,pH,1119USBR_WQX-PAL008,Grab,Water Bottle,6.98,None,Dissolved,pH,https://www.nemi.gov/methods/method_summary/4685/,STORET,2015-07-28_break_1119USBR_WQX-PAL008
Bureau of Reclamation,2015-06-17,10:48:00,MDT,temperature,1119USBR_WQX-JAC001,Grab,Water Bottle,15.9,deg C,Dissolved,Temperature of Water by Thermometer,,STORET,2015-06-17_break_1119USBR_WQX-JAC001
Bureau of Reclamation,2015-06-17,10:48:00,MDT,pH,1119USBR_WQX-JAC001,Grab,Water Bottle,7.76,None,Dissolved,pH,https://www.nemi.gov/methods/method_summary/4685/,STORET,2015-06-17_break_1119USBR_WQX-JAC001
National Park Service Water Resources Division,2015-08-25,06:30:00,MDT,temperature,11NPSWRD_WQX-GRTE_SNR01,,,13.53,deg C,Total,In-Situ TROLL 9000 Multi-Parameter Water Quality Monitor,,STORET,2015-08-25_break_11NPSWRD_WQX-GRTE_SNR01
National Park Service Water Resources Division,2015-08-25,06:30:00,MDT,pH,11NPSWRD_WQX-GRTE_SNR01,,,8.0,None,Total,In-Situ TROLL 9000 Multi-Parameter Water Quality Monitor,,STORET,2015-08-25_break_11NPSWRD_WQX-GRTE_SNR01
National Park Service Water Resources Division,2015-09-22,14:01:00,MDT,Calcium,11NPSWRD_WQX-GRTE_SNR02,Depth integrated sample with DH81 isokinetic sampler,Water Bottle,17.8,mg/l,Dissolved,200.7 W  ~ Metals in Water by ICP-AES,https://www.nemi.gov/methods/method_summary/4690/,STORET,2015-09-22_break_11NPSWRD_WQX-GRTE_SNR02
National Park Service Water Resources Division,2015-09-22,14:01:00,MDT,Calcium,11NPSWRD_WQX-GRTE_SNR02,Depth integrated sample with DH81 isokinetic sampler,Water Bottle,18.3,mg/l,Total,200.7 W  ~ Metals in Water by ICP-AES,https://www.nemi.gov/methods/method_summary/4690/,STORET,2015-09-22_break_11NPSWRD_WQX-GRTE_SNR02
National Park Service Water Resources Division,2015-06-23,14:35:00,MDT,pH,11NPSWRD_WQX-GRTE_SNR02,,,8.24,None,Total,In-Situ TROLL 9000 Multi-Parameter Water Quality Monitor,,STORET,2015-06-23_break_11NPSWRD_WQX-GRTE_SNR02
National Park Service Water Resources Division,2015-06-23,14:35:00,MDT,temperature,11NPSWRD_WQX-GRTE_SNR02,,,16.4,deg C,Total,In-Situ TROLL 9000 Multi-Parameter Water Quality Monitor,,STORET,2015-06-23_break_11NPSWRD_WQX-GRTE_SNR02
Bureau of Reclamation,2015-08-11,11:30:00,MDT,temperature,1119USBR_WQX-JAC001,Grab,Water Bottle,7.0,deg C,Dissolved,Temperature of Water by Thermometer,,STORET,2015-08-11_break_1119USBR_WQX-JAC001
Bureau of Reclamation,2015-08-11,11:30:00,MDT,pH,1119USBR_WQX-JAC001,Grab,Water Bottle,7.75,None,Dissolved,pH,https://www.nemi.gov/methods/method_summary/4685/,STORET,2015-08-11_break_1119USBR_WQX-JAC001
National Park Service Water Resources Division,2015-11-09,13:00:00,MST,temperature,11NPSWRD_WQX-GRTE_SNR02,,,4.55,deg C,Total,In-Situ TROLL 9000 Multi-Parameter Water Quality Monitor,,STORET,2015-11-09_break_11NPSWRD_WQX-GRTE_SNR02
National Park Service Water Resources Division,2015-11-09,13:00:00,MST,pH,11NPSWRD_WQX-GRTE_SNR02,,,8.6,None,Total,In-Situ TROLL 9000 Multi-Parameter Water Quality Monitor,,STORET,2015-11-09_break_11NPSWRD_WQX-GRTE_SNR02
Bureau of Reclamation,2015-07-29,09:35:00,MDT,pH,1119USBR_WQX-PAL008,Grab,Water Bottle,7.93,None,Dissolved,pH,https://www.nemi.gov/methods/method_summary/4685/,STORET,2015-07-29_break_1119USBR_WQX-PAL008
Bureau of Reclamation,2015-06-17,10:53:00,MDT,temperature,1119USBR_WQX-JAC001,Grab,Water Bottle,13.7,deg C,Dissolved,Temperature of Water by Thermometer,,STORET,2015-06-17_break_1119USBR_WQX-JAC001
Bureau of Reclamation,2015-06-30,08:46:00,MDT,pH,1119USBR_WQX-PAL008,Grab,Water Bottle,8.24,None,Dissolved,pH,https://www.nemi.gov/methods/method_summary/4685/,STORET,2015-06-30_break_1119USBR_WQX-PAL008
Bureau of Reclamation,2015-06-17,11:11:00,MDT,temperature,1119USBR_WQX-JAC001,Grab,Water Bottle,6.2,deg C,Dissolved,Temperature of Water by Thermometer,,STORET,2015-06-17_break_1119USBR_WQX-JAC001
National Park Service Water Resources Division,2015-06-23,14:35:00,MDT,Calcium,11NPSWRD_WQX-GRTE_SNR02,Depth integrated sample with DH81 isokinetic sampler,Water Bottle,13.3,mg/l,Dissolved,200.7 W  ~ Metals in Water by ICP-AES,https://www.nemi.gov/methods/method_summary/4690/,STORET,2015-06-23_break_11NPSWRD_WQX-GRTE_SNR02
National Park Service Water Resources Division,2015-06-23,14:35:00,MDT,Calcium,11NPSWRD_WQX-GRTE_SNR02,Depth integrated sample with DH81 isokinetic sampler,Water Bottle,15.2,mg/l,Total,200.7 W  ~ Metals in Water by ICP-AES,https://www.nemi.gov/methods/method_summary/4690/,STORET,2015-06-23_break_11NPSWRD_WQX-GRTE_SNR02
Bureau of Reclamation,2015-05-27,11:04:00,MDT,pH,1119USBR_WQX-PAL008,Grab,Water Bottle,8.52,None,Dissolved,pH,https://www.nemi.gov/methods/method_summary/4685/,STORET,2015-05-27_break_1119USBR_WQX-PAL008
Bureau of Reclamation,2015-05-27,11:04:00,MDT,temperature,1119USBR_WQX-PAL008,Grab,Water Bottle,12.4,deg C,Dissolved,Temperature of Water by Thermometer,,STORET,2015-05-27_break_1119USBR_WQX-PAL008
Bureau of Reclamation,2015-07-29,09:18:00,MDT,pH,1119USBR_WQX-PAL008,Grab,Water Bottle,8.6,None,Dissolved,pH,https://www.nemi.gov/methods/method_summary/4685/,STORET,2015-07-29_break_1119USBR_WQX-PAL008
Bureau of Reclamation,2015-07-28,10:34:00,MDT,pH,1119USBR_WQX-JAC001,Grab,Water Bottle,7.58,None,Dissolved,pH,https://www.nemi.gov/methods/method_summary/4685/,STORET,2015-07-28_break_1119USBR_WQX-JAC001
Bureau of Reclamation,2015-05-27,11:30:00,MDT,temperature,1119USBR_WQX-PAL008,Grab,Water Bottle,5.6,deg C,Dissolved,Temperature of Water by Thermometer,,STORET,2015-05-27_break_1119USBR_WQX-PAL008
Bureau of Reclamation,2015-08-11,11:15:00,MDT,Calcium,1119USBR_WQX-JAC001,Grab,Water Bottle,15.1,mg/l,Dissolved,Calcium by FLAA,https://www.nemi.gov/methods/method_summary/5280/,STORET,2015-08-11_break_1119USBR_WQX-JAC001
Bureau of Reclamation,2015-08-11,11:15:00,MDT,pH,1119USBR_WQX-JAC001,Grab,Water Bottle,6.9,None,Dissolved,pH,https://www.nemi.gov/methods/method_summary/4685/,STORET,2015-08-11_break_1119USBR_WQX-JAC001
Bureau of Reclamation,2015-07-28,10:16:00,MDT,temperature,1119USBR_WQX-JAC001,Grab,Water Bottle,17.6,deg C,Dissolved,Temperature of Water by Thermometer,,STORET,2015-07-28_break_1119USBR_WQX-JAC001
Bureau of Reclamation,2015-05-27,11:21:00,MDT,pH,1119USBR_WQX-PAL008,Grab,Water Bottle,8.11,None,Dissolved,pH,https://www.nemi.gov/methods/method_summary/4685/,STORET,2015-05-27_break_1119USBR_WQX-PAL008
Bureau of Reclamation,2015-07-29,11:45:00,MDT,Calcium,1119USBR_WQX-PAL101,Grab,Water Bottle,39.1,mg/l,Dissolved,Calcium by FLAA,https://www.nemi.gov/methods/method_summary/5280/,STORET,2015-07-29_break_1119USBR_WQX-PAL101
Bureau of Reclamation,2015-06-30,09:07:00,MDT,pH,1119USBR_WQX-PAL008,Grab,Water Bottle,7.46,None,Dissolved,pH,https://www.nemi.gov/methods/method_summary/4685/,STORET,2015-06-30_break_1119USBR_WQX-PAL008
Bureau of Reclamation,2015-07-28,10:24:00,MDT,pH,1119USBR_WQX-JAC001,Grab,Water Bottle,7.77,None,Dissolved,pH,https://www.nemi.gov/methods/method_summary/4685/,STORET,2015-07-28_break_1119USBR_WQX-JAC001
Bureau of Reclamation,2015-05-27,11:30:00,MDT,pH,1119USBR_WQX-PAL008,Grab,Water Bottle,7.23,None,Dissolved,pH,https://www.nemi.gov/methods/method_summary/4685/,STORET,2015-05-27_break_1119USBR_WQX-PAL008
Bureau of Reclamation,2015-07-28,09:32:00,MDT,pH,1119USBR_WQX-PAL008,Grab,Water Bottle,8.2,None,Dissolved,pH,https://www.nemi.gov/methods/method_summary/4685/,STORET,2015-07-28_break_1119USBR_WQX-PAL008
Bureau of Reclamation,2015-07-28,10:20:00,MDT,pH,1119USBR_WQX-JAC001,Grab,Water Bottle,7.98,None,Dissolved,pH,https://www.nemi.gov/methods/method_summary/4685/,STORET,2015-07-28_break_1119USBR_WQX-JAC001
National Park Service Water Resources Division,2015-11-09,13:00:00,MST,Calcium,11NPSWRD_WQX-GRTE_SNR02,Depth integrated sample with DH81 isokinetic sampler,Water Bottle,27.0,mg/l,Total,200.7 W  ~ Metals in Water by ICP-AES,https://www.nemi.gov/methods/method_summary/4690/,STORET,2015-11-09_break_11NPSWRD_WQX-GRTE_SNR02
Bureau of Reclamation,2015-06-30,09:09:00,MDT,temperature,1119USBR_WQX-PAL008,Grab,Water Bottle,7.6,deg C,Dissolved,Temperature of Water by Thermometer,,STORET,2015-06-30_break_1119USBR_WQX-PAL008
Bureau of Reclamation,2015-06-17,11:11:00,MDT,pH,1119USBR_WQX-JAC001,Grab,Water Bottle,7.38,None,Dissolved,pH,https://www.nemi.gov/methods/method_summary/4685/,STORET,2015-06-17_break_1119USBR_WQX-JAC001
Bureau of Reclamation,2015-08-11,11:20:00,MDT,pH,1119USBR_WQX-JAC001,Grab,Water Bottle,8.31,None,Dissolved,pH,https://www.nemi.gov/methods/method_summary/4685/,STORET,2015-08-11_break_1119USBR_WQX-JAC001
Bureau of Reclamation,2015-05-27,11:12:00,MDT,pH,1119USBR_WQX-PAL008,Grab,Water Bottle,8.54,None,Dissolved,pH,https://www.nemi.gov/methods/method_summary/4685/,STORET,2015-05-27_break_1119USBR_WQX-PAL008
Bureau of Reclamation,2015-06-17,11:15:00,MDT,temperature,1119USBR_WQX-JAC001,Grab,Water Bottle,5.3,deg C,Dissolved,Temperature of Water by Thermometer,,STORET,2015-06-17_break_1119USBR_WQX-JAC001
Bureau of Reclamation,2015-07-29,09:22:00,MDT,temperature,1119USBR_WQX-PAL008,Grab,Water Bottle,18.5,deg C,Dissolved,Temperature of Water by Thermometer,,STORET,2015-07-29_break_1119USBR_WQX-PAL008
Bureau of Reclamation,2015-08-11,11:33:00,MDT,pH,1119USBR_WQX-JAC001,Grab,Water Bottle,7.65,None,Dissolved,pH,https://www.nemi.gov/methods/method_summary/4685/,STORET,2015-08-11_break_1119USBR_WQX-JAC001
Bureau of Reclamation,2015-07-28,10:19:00,MDT,temperature,1119USBR_WQX-JAC001,Grab,Water Bottle,17.5,deg C,Dissolved,Temperature of Water by Thermometer,,STORET,2015-07-28_break_1119USBR_WQX-JAC001
Bureau of Reclamation,2015-07-29,09:15:00,MDT,pH,1119USBR_WQX-PAL008,Grab,Water Bottle,8.0,None,Dissolved,pH,https://www.nemi.gov/methods/method_summary/4685/,STORET,2015-07-29_break_1119USBR_WQX-PAL008
National Park Service Water Resources Division,2015-07-07,14:21:00,MDT,Calcium,11NPSWRD_WQX-GRTE_SNR02,Depth integrated sample with DH81 isokinetic sampler,Water Bottle,15.3,mg/l,Total,200.7 W  ~ Metals in Water by ICP-AES,https://www.nemi.gov/methods/method_summary/4690/,STORET,2015-07-07_break_11NPSWRD_WQX-GRTE_SNR02
Bureau of Reclamation,2015-07-29,09:20:00,MDT,temperature,1119USBR_WQX-PAL008,Grab,Water Bottle,18.6,deg C,Dissolved,Temperature of Water by Thermometer,,STORET,2015-07-29_break_1119USBR_WQX-PAL008
Bureau of Reclamation,2015-06-30,08:57:00,MDT,temperature,1119USBR_WQX-PAL008,Grab,Water Bottle,13.5,deg C,Dissolved,Temperature of Water by Thermometer,,STORET,2015-06-30_break_1119USBR_WQX-PAL008
